time	zera	jedynki
1557	135177	127992
1558	135129	128040
1559	135126	128043
1560	135092	128077
1561	135190	127979
1562	135116	128053
1563	135121	128048
1564	135132	128037
1565	135154	128015
1566	135117	128052
1567	135146	128023
1568	135102	128067
1569	135166	128003
1570	135114	128055
1571	135145	128024
1572	135107	128062
1573	135180	127989
1574	135113	128056
1575	135118	128051
1576	135130	128039
1577	135154	128015
1578	135119	128050
1579	135162	128007
1580	135092	128077
1581	135157	128012
1582	135137	128032
1583	135126	128043
1584	135095	128074
1585	135191	127978
1586	135102	128067
1587	135146	128023
1588	135119	128050
1589	135155	128014
1590	135108	128061
1591	135156	128013
1592	135115	128054
1593	135155	128014
1594	135128	128041
1595	135119	128050
1596	135112	128057
1597	135183	127986
1598	135103	128066
1599	135136	128033
1600	135117	128052
1601	135169	128000
1602	135113	128056
1603	135150	128019
1604	135108	128061
1605	135141	128028
1606	135146	128023
1607	135135	128034
1608	135094	128075
1609	135188	127981
1610	135099	128070
1611	135134	128035
1612	135121	128048
1613	135168	128001
1614	135116	128053
1615	135149	128020
1616	135092	128077
1617	135169	128000
1618	135128	128041
1619	135121	128048
1620	135114	128055
1621	135186	127983
1622	135111	128058
1623	135128	128041
1624	135124	128045
1625	135150	128019
1626	135107	128062
1627	135170	127999
1628	135103	128066
1629	135153	128016
1630	135123	128046
1631	135133	128036
1632	135111	128058
1633	135174	127995
1634	135120	128049
1635	135124	128045
1636	135128	128041
1637	135161	128008
1638	135107	128062
1639	135162	128007
1640	135082	128087
1641	135173	127996
1642	135129	128040
1643	135131	128038
1644	135098	128071
1645	135181	127988
1646	135123	128046
1647	135124	128045
1648	135128	128041
1649	135155	128014
1650	135105	128064
1651	135156	128013
1652	135108	128061
1653	135160	128009
1654	135129	128040
1655	135125	128044
1656	135110	128059
1657	135189	127980
1658	135094	128075
